network,aggregate,percent_availability,gapsperday,mc100km,nlnmp25,nlnm1,nlnm8,nlnm22,nlnm110
2B,83.23,94.25,0.11,2.88,45.51,33.63,18.90,25.66,39.11
6E,58.67,14.47,0.40,3.23,55.80,46.27,33.30,45.90,61.69
7A,87.40,99.13,0.05,2.48,36.03,26.47,17.77,24.20,37.26
AG,86.40,97.57,0.66,2.30,35.03,25.43,19.45,23.10,35.11
CN,75.39,87.33,39.59,2.04,26.82,25.03,19.72,21.51,36.84
CO,82.51,96.94,15.15,2.37,38.23,29.05,19.26,23.45,33.02
ET,85.15,98.56,4.01,2.12,31.25,22.20,17.25,20.44,27.95
GS,74.91,90.03,0.79,3.12,56.53,37.93,22.48,35.60,51.13
IM,93.07,99.61,0.50,1.83,22.08,20.77,17.62,17.17,19.11
IU,89.73,92.51,0.09,2.08,28.92,25.48,19.10,19.86,24.16
KY,64.22,98.08,6.24,3.32,55.89,48.50,22.50,34.63,38.33
LD,84.90,94.53,1.24,2.25,33.96,28.70,19.86,22.54,34.52
N4,85.78,97.96,2.41,2.42,38.67,31.77,20.45,22.16,31.07
NE,83.54,90.36,0.85,2.34,36.26,29.45,21.88,23.77,35.22
NM,76.56,96.19,5.26,2.81,49.32,40.99,21.43,28.45,42.13
NW,78.64,97.61,0.56,2.97,52.30,37.04,21.11,27.96,51.62
NX,75.78,37.38,0.13,2.67,43.41,31.40,22.90,21.99,36.10
OK,77.05,83.77,1.39,2.64,43.55,29.60,18.82,35.42,52.73
PE,79.41,93.30,5.54,2.52,40.62,28.81,21.99,29.29,46.73
PN,57.22,95.22,2.87,3.27,63.83,50.88,37.37,56.76,80.48
PO,68.26,65.10,89.74,2.64,41.81,21.81,14.70,24.98,42.21
SS,65.45,80.23,54.79,3.29,48.50,36.91,18.37,42.68,59.98
TA,86.57,97.38,0.04,2.41,36.80,31.34,21.09,22.99,31.10
TX,77.47,95.16,0.76,2.99,56.25,42.07,24.07,29.99,37.65
US,86.67,98.63,0.12,2.39,37.42,30.87,20.31,23.24,31.03
WU,67.92,90.23,106.38,2.56,37.42,33.97,20.81,29.46,45.78
XR,69.68,19.13,0.12,3.00,53.93,35.32,20.57,29.76,42.25
Y9,66.38,25.40,0.51,3.20,55.66,39.83,27.04,32.00,47.57
YC,66.73,74.25,3.79,3.31,52.40,49.90,22.31,32.89,54.11
YW,77.13,71.96,0.79,2.97,52.19,35.58,17.81,29.05,43.33
ZW,75.08,91.51,4.71,2.67,46.28,32.95,10.15,34.04,55.80
